Tipo de Documento,Referencia / Factura,Importe de factura,Descuento,Motivo del descuento,Pago Neto,Comentarios
DIF. COSTO/CANTIDAD,PMP1261156,-91517.0,,,-91517.0, PMP1261156
DIF. COSTO/CANTIDAD,PMP1261157,-91070.0,,,-91070.0, PMP1261157
DIF. COSTO/CANTIDAD,PMP1259913,-177167.0,,,-177167.0, PMP1259913
DIF. COSTO/CANTIDAD,PMP1261160,-310289.0,,,-310289.0, PMP1261160
DIF. COSTO/CANTIDAD,PMP1260165,-235632.0,,,-235632.0, PMP1260165
DIF. COSTO/CANTIDAD,PMP1260273,-1003165.0,,,-1003165.0, PMP1260273
DIF. COSTO/CANTIDAD,PMP1261510,-88771.0,,,-88771.0, PMP1261510
DIF. COSTO/CANTIDAD,PMP1261159,-135655.0,,,-135655.0, PMP1261159
DIF. COSTO/CANTIDAD,PMP1259580,-290850.0,,,-290850.0, PMP1259580
DIF. COSTO/CANTIDAD,PMP1260349,-18277.0,,,-18277.0, PMP1260349
DIF. COSTO/CANTIDAD,PMP1260107,-773568.0,,,-773568.0, PMP1260107
DIF. COSTO/CANTIDAD,PMP1259912,-4462986.0,,,-4462986.0, PMP1259912
DIF. COSTO/CANTIDAD,PMP1261161,-270675.0,,,-270675.0, PMP1261161
DIF. COSTO/CANTIDAD,PMP1261050,-282236.0,,,-282236.0, PMP1261050
DIF. COSTO/CANTIDAD,PMP1260766,-183046.0,,,-183046.0, PMP1260766
DIF. COSTO/CANTIDAD,PMP1258585,-591402.0,,,-591402.0, PMP1258585
DIF. COSTO/CANTIDAD,PMP1258571,-259015.0,,,-259015.0, PMP1258571
DIF. COSTO/CANTIDAD,PMP1260350,-152458.0,,,-152458.0, PMP1260350
DIF. COSTO/CANTIDAD,PMP1259919,-91095.0,,,-91095.0, PMP1259919
