R5504575
Fecha de pago:;26/09/2025
Forma de pago:;CTA;********2566
Cía;Cliente;Tipo Doc;Num Doc;Num Factura;Valor;Fecha Doc
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312956;'013002000332161;1110.20;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313227;'005002000658007;54.51;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313227;'005002000658007;-.01;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313228;'005002000658024;40.42;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313228;'005002000658024;-.01;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313229;'005002000658048;26.87;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313230;'005002000658055;119.04;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313230;'005002000658055;-.02;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313231;'005002000658057;35.99;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313231;'005002000658057;-.01;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313232;'005002000658061;71.79;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3313232;'005002000658061;-.01;18/06/2025
